id,Date,satisfaction,nps,frustrations,like_best,satisfaction_matrix:Content_accuracy,satisfaction_matrix:Ease_of_use,satisfaction_matrix:Information_provided_is_up_to_da,satisfaction_matrix:Information_is_easy_to_find,satisfaction_matrix:Visual_appeal,tasks,Look_something_up,Learn_something_new,Find_code_samples,Evaluate_a_product_service,Solve_a_problem,Find_a_reference_architecture,Find_information_about_getting_s,What_is_your_job_role_Enter_stud,What_is_your_age_,gender_dropdown,How_many_years_of_experience_do_,What_are_the_primary_technologie,How_many_employees_does_your_com,URL,Location,Total Time,Device type,Browser,System,IP,visitorId
16,3/7/20 6:04,6,9,,,5,5,6,5,6,Solve_a_problem,,,,,5,,,Programmer,25-34_years_old,Male,,,,https://docs.microsoft.com/en-us/sql/ssms/scripting/sqlcmd-use-the-utility?view=sql-server-ver15,,64s,Desktop,Chrome 0.0.0,Win7,,37F0A1FD849E6388175BAF7B85EF622C
17,3/7/20 3:36,1,10,sdf,fg,,,,,,Find_code_samples / Solve_a_problem / Find_a_reference_architecture / Look_something_up / Evaluate_a_product_service / Find_information_about_getting_s / Learn_something_new,,,,,,,,Student,25-34_years_old,Male,8,Visual Basic 6,1,https://docs.microsoft.com/en-us/dotnet/api/system.net.sockets.tcpclient.getstream?view=netframework-4.8,,120s,Desktop,Chrome 0.0.0,Win10,,26960F14A2B467D43B620191A37F6635
18,3/7/20 3:14,7,8,demo is a little bit less,more simple demo,7,7,5,6,6,Solve_a_problem,,,,,6,,,programmer,25-34_years_old,Male,6 years,c++,30+,https://docs.microsoft.com/zh-cn/dotnet/api/system.reflection.emit?view=netframework-4.8,,131s,Desktop,Chrome 0.0.0,Win10,,15582F2A5102675F218E21AC507D66A1
19,3/7/20 2:21,6,8,,,5,6,6,6,7,Learn_something_new,,6,,,,,,student,25-34_years_old,Female,,spanish,,https://docs.microsoft.com/es-es/dotnet/csharp/programming-guide/classes-and-structs/properties,,281s,Desktop,Firefox 73.0.0,Ubuntu,,0A5836952A4F641D2AA73B712E4F6723
20,3/7/20 2:11,5,5,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/ja-jp/visualstudio/mac/unity-tools?view=vsmac-2019,,41774s,Desktop,Chrome 0.0.0,MacOSX,,2327DE474F4E6AB80237D2734B4E691E
21,3/7/20 1:25,6,10,Many links point to dead webpages. Docs could point to Microsoft Learn more.,Very thorough,6,7,7,6,7,Learn_something_new / Look_something_up / Find_information_about_getting_s,7,7,,,,,7,Student,18-24_years_old,Male,0,Bash PowerShell Windows 10 Windows Server,10000+,https://docs.microsoft.com/en-us/,,869s,Desktop,Chrome 0.0.0,Win10,,29390A7960176DEE249F04FF61036CFA
22,3/6/20 22:20,5,6,,,5,5,5,5,5,Learn_something_new,,7,,,,,,,,,,,,https://docs.microsoft.com/pt-br/dotnet/framework/install/dotnet-35-windows-10?redirectedfrom=MSDN#install-the-net-framework-35-on-demand,,44s,Desktop,IE 18.18362.0,Win10,,2A382143BA2E649128CE2FC6BB986577
23,3/6/20 21:39,7,10,,,7,7,7,7,7,,,,,,,,,,,,,,,https://docs.microsoft.com/pt-br/windows/security/threat-protection/windows-defender-application-guard/install-wd-app-guard,,187s,Desktop,Chrome 0.0.0,Win10,,11D6031147166A5232E70EB643166971
24,3/6/20 20:17,1,1,sample code like old days that have both c# and vb.net,sample code,5,3,3,3,4,Find_code_samples / Solve_a_problem,,,4,,3,,,developer,45-54_years_old,Male,30,"Assembler, C, VB, C#, javascript",15,https://docs.microsoft.com/en-us/azure/storage/blobs/storage-quickstart-blobs-dotnet#download-blobs,,120s,Desktop,Chrome 0.0.0,Win10,,029E71EEA70268EC3D767CE6A10268D2
25,3/6/20 20:15,7,10,,,5,4,5,5,6,Solve_a_problem / Find_code_samples,,,5,,6,,,,55-64_years_old,Male,30,c/c++,25,https://docs.microsoft.com/de-de/windows/iot-core/develop-your-app/busproviders,,270s,Desktop,Firefox 73.0.0,Win10,,01DFDA2549146AE53BA1D4704D146948
26,3/6/20 20:11,5,7,Dead links,,5,6,6,5,5,Learn_something_new / Find_information_about_getting_s / Look_something_up / Find_code_samples,6,4,4,,,,5,Product Manager,45-54_years_old,Male,25,"VB.Net, C#, MSSQL",20,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/error-messages/region-and-end-region-are-not-valid-within-method-bodies-multiline-lambdas,,119s,Desktop,Chrome 0.0.0,Win7,,0EC94956D4C76F1520E847D3D51B6E40
27,3/6/20 20:10,1,10,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/ar-sa/dotnet/framework/install/guide-for-developers,,80s,Desktop,Chrome 0.0.0,Win10,,0EC5EC1509E261AF3490E262088960FF
28,3/6/20 20:04,3,0,more help,,2,2,1,1,1,Look_something_up / Find_information_about_getting_s / Find_a_reference_architecture,1,,,,,1,1,MANAGER,65-74_years_old,Male,57 YEARS,,17,https://docs.microsoft.com/en-us/windows-server/upgrade/upgrade-overview,,463s,Desktop,Chrome 0.0.0,Win8.1,,2166E9A5925B60FE0637E7DA93F361F1
29,3/6/20 19:20,4,3,"examples, more details about some objects",interesting contents,2,1,2,1,4,Learn_something_new / Solve_a_problem,,2,,,2,,,system admin,35-44_years_old,Male,10,Windows powershell,1000,https://docs.microsoft.com/en-us/dotnet/api/microsoft.enterprisemanagement.monitoring.imonitoringinstancesmanagement.deletedisabledobjects?view=sc-om-dotnet-2016,,3594s,Desktop,Firefox 73.0.0,Win8.1,,0471A16CA2D667FE1BCBAFE9A300665D
30,3/6/20 19:18,6,8,,,6,5,6,6,5,Find_code_samples,,,6,,,,,lan admin,55-64_years_old,Male,25,,120,https://docs.microsoft.com/en-us/exchange/plan-and-deploy/post-installation-tasks/install-management-tools?view=exchserver-2019,,109s,Desktop,Chrome 0.0.0,Win7,,0F1A659E060F622534BE6BF8020F6400
31,3/6/20 18:51,7,10,,,7,5,7,7,7,Solve_a_problem / Look_something_up / Learn_something_new / Find_information_about_getting_s / Find_code_samples,7,7,4,,5,,6,hobbyist,65-74_years_old,Male,3,,none,https://docs.microsoft.com/en-us/visualstudio/ide/step-4-lay-out-your-form-with-a-tablelayoutpanel-control?view=vs-2019,,99s,Desktop,Firefox 73.0.0,Win10,,21569D710A8D6F94110293F40B476E96
32,3/6/20 18:32,6,8,"The only thing I've come across is the use of acronyms specific to Microsoft that are not explained. In this case, I am reading the foundation level docs for Azure so any acronyms should be explained or at the very least spelled out.",,,6,,,6,Learn_something_new,,5,,,,,,,,,,,,https://docs.microsoft.com/en-us/azure/architecture/aws-professional/services,,152s,Desktop,Chrome 0.0.0,MacOSX,,090FFB79CD5D681B1CAEF5F8CC7F69B9
33,3/6/20 18:16,7,10,,Simplicity,7,7,7,7,7,Solve_a_problem / Find_code_samples / Find_a_reference_architecture / Learn_something_new / Look_something_up,7,7,5,,6,6,,Software Developer,18-24_years_old,Male,6,.Net and Xamarin,3000,https://docs.microsoft.com/en-us/xamarin/ios/deploy-test/app-distribution/app-store-distribution/publishing-to-the-app-store?tabs=macos,,164s,Desktop,Chrome 0.0.0,MacOSX,,026E0CBEEC8E613222DF02CAED5B6043
34,3/6/20 16:33,6,9,"""I would like to see more code examples""  - said everyone ever born.I would like to see more pitfalls experienced within technological procedures, like when upgrading SQL Server, this could happen, or has happened, etc.  No upgrade/installation/configuration is as perfect as MS docs make them out to be.","It's not false, bad or misleading",6,6,7,6,7,Look_something_up / Find_code_samples / Find_information_about_getting_s / Solve_a_problem / Learn_something_new / Find_a_reference_architecture / Evaluate_a_product_service,6,7,2,7,6,6,6,IT Director,45-54_years_old,Male,28,"All tech (AD, DHCP, DHS), All Office 365 (SP, Teams, Skype), C#, SQL Server",1300,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms?view=sql-server-ver15,,1503s,Desktop,Chrome 0.0.0,Win10,,355E0C230F6B65B21D7E02A10E4E64E0
35,3/6/20 16:28,5,6,more graphics,RSS,5,5,5,5,4,Solve_a_problem / Find_a_reference_architecture / Learn_something_new / Find_information_about_getting_s / Find_code_samples / Look_something_up / Evaluate_a_product_service,4,5,7,5,7,5,5,WORK,35-44_years_old,Male,20,"SQL SEVER, REPORTING, INTEGRATION",MORE THE 2000,https://docs.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-sql-referenced-entities-transact-sql?view=sql-server-ver15,,313s,Desktop,Chrome 0.0.0,Win10,,06431EF156A062CB1F90153952A0618A
36,3/6/20 15:59,1,1,,,1,1,1,1,1,Look_something_up,2,,,,,,,,,,,,,https://docs.microsoft.com/en-ca/microsoft-365/admin/admin-home?view=o365-worldwide,,109s,Desktop,IE 11.0.0,Win10,,33FE33970B5966932B053D140A856749
37,3/6/20 15:58,3,3,"Not enough information on standard functionality, very superficial",,4,3,4,3,2,Look_something_up / Find_information_about_getting_s / Learn_something_new / Solve_a_problem,3,3,,,3,,3,IT Business Analyst,35-44_years_old,Female,17,D365,200,https://docs.microsoft.com/en-us/dynamics365/fin-ops-core/fin-ops/organization-administration/configure-workflow-properties,,150s,Desktop,Chrome 0.0.0,Win10,,30BBACC4E41B65B930DDA0C0E01B664C
38,3/6/20 15:29,6,8,,Sehr ¸bersichtlich und komplex!,6,7,6,6,7,Find_code_samples / Find_information_about_getting_s / Look_something_up,6,,6,,,,6,,,,,,,https://docs.microsoft.com/de-de/xamarin/graphics-games/monogame/3d/part1,,106s,Desktop,IE 18.18362.0,Win10,,31852B30B0B26949193425B0B107680A
39,3/6/20 15:22,7,10,It seems to work well for my needs at this time.,The information I was looking for.,5,7,6,4,7,Look_something_up / Learn_something_new / Evaluate_a_product_service / Find_information_about_getting_s / Solve_a_problem / Find_a_reference_architecture,5,7,,5,6,5,7,Information Security Officer,45-54_years_old,Male,15+,"Java, C#, Windows stack",350+,https://docs.microsoft.com/en-us/azure/active-directory/user-help/multi-factor-authentication-end-user-manage-settings,,318s,Desktop,IE 18.18362.0,Win10,,0421446F7DD769C516874AEA7C6968A0
40,3/6/20 14:33,7,10,,,7,7,7,7,7,,,,,,,,,,,,,,,https://docs.microsoft.com/en-us/windows/deployment/update/waas-delivery-optimization,,323s,Desktop,Firefox 73.0.0,Win10,,020B96A5EF6763E4159F9BE9EE18628E
41,3/6/20 13:29,5,9,,,6,6,5,6,6,Find_a_reference_architecture / Learn_something_new,,6,,,,6,,engineer,25-34_years_old,Female,1,"php, vba, JS",20000,https://docs.microsoft.com/en-us/office/vba/api/excel.range.find,,157s,Desktop,Chrome 0.0.0,Win10,,2204D82CD0DC62C71958D626D19C6337
42,3/6/20 12:48,6,9,,,7,7,5,6,6,Solve_a_problem,,,,,6,,,Developer,35-44_years_old,Male,,,,https://docs.microsoft.com/en-us/powerapps/developer/model-driven-apps/clientapi/reference/xrm-webapi,,101s,Desktop,Chrome 0.0.0,Win10,,2335A522B01163513E21ABA7B1B96253
43,3/6/20 12:04,7,10,,,7,7,7,7,6,Look_something_up / Solve_a_problem / Find_code_samples,5,,7,,7,,,Software Developer,18-24_years_old,Male,2,VB,15,https://docs.microsoft.com/de-de/dotnet/api/system.drawing.bitmap?view=netframework-4.8,,63s,Desktop,Firefox 73.0.0,Win10,,240E4DFC70CE617C1E9E4379710460C3
44,3/6/20 11:43,1,0,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/et-ee/visualstudio/releases/2019/release-notes#16.4.5,,183s,Desktop,Chrome 0.0.0,Win10,,004F6D7F1EDF638F3F4D63081FB562D3
45,3/6/20 10:35,6,8,"Sometimes they are not related to my search. SOmetimes I can't find the error code I'm looking for, it is simply not there.","Well, that they are here, searchable 24/7.",5,5,5,5,5,Learn_something_new / Evaluate_a_product_service / Find_information_about_getting_s / Find_a_reference_architecture / Solve_a_problem / Look_something_up,6,6,,6,4,5,6,senior architect,65-74_years_old,Male,45,Microsoft,"250,000",https://docs.microsoft.com/en-us/aspnet/signalr/overview/getting-started/introduction-to-signalr,,205s,Desktop,Chrome 0.0.0,Win10,,33DE42F9E5A266203A1A4E85E1A26595
46,3/6/20 9:58,1,0,It is quite difficult to understand.,,2,1,1,5,2,Find_code_samples,,,1,,,,,,18-24_years_old,Male,,,,https://docs.microsoft.com/en-us/dotnet/api/system.consolespecialkey?view=netframework-4.8,,68s,Desktop,Firefox 74.0.0,Win10,,1BE6F9315B0065733256F4425F0063B2
47,3/6/20 9:54,4,0,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/de-de/office/vba/language/reference/user-interface-help/filesystemobject-object,,22s,Desktop,Chrome 0.0.0,Win10,,3010D940CB2C6ED602D4D7C3CA5D6F58
48,3/6/20 8:54,6,7,,,4,6,7,4,7,Look_something_up / Learn_something_new / Solve_a_problem,5,6,,,6,,,software developer,35-44_years_old,Male,22,.NET T-sql c#,,https://docs.microsoft.com/en-us/sql/t-sql/queries/with-common-table-expression-transact-sql?view=sql-server-ver15,,62s,Desktop,Chrome 0.0.0,Win7,,289D74312408686806D67A7420086E54
49,3/6/20 8:37,6,9,outdated info.,Correct updated info with version reference,6,7,5,6,6,Look_something_up / Find_code_samples / Learn_something_new,6,6,5,,,,,3rd line supporter fo proprietary software and powershell automation guru,45-54_years_old,Male,30+,windows and powershell,1000+,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_powershell_exe?view=powershell-5.1,,282s,Desktop,Chrome 0.0.0,Win10,,12C04525B153642D02114989B553675C
50,3/6/20 3:20,6,7,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/en-us/graph/query-parameters,,16s,Desktop,Chrome 0.0.0,Win10,,221C40F54205690137F54D5D46056FE0
51,3/6/20 3:01,1,0,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/nslookup,,12s,Desktop,Chrome 0.0.0,Win10,,2EBB2A8D4014679B1866277344146185
52,3/6/20 2:54,3,3,"Issues giving access to other microsoft users outside my organization.Also, OneDrive app difficulty to install and sync with site.",,3,4,3,1,5,Solve_a_problem,,,,,2,,,,,,,,,https://docs.microsoft.com/en-us/azure/active-directory/user-help/multi-factor-authentication-end-user-troubleshoot,,3188s,Desktop,Firefox 73.0.0,Win7,,08E0CDAA7CEB6FE70A18C06978EB6C0A
53,3/6/20 1:18,3,3,,,4,2,3,2,1,Learn_something_new,,3,,,,,,IT specialit,55-64_years_old,Prefer_not_to_answer,35,PowerShell,,https://docs.microsoft.com/en-us/configmgr/core/plan-design/changes/whats-new-incremental-versions,,187s,Tablet,IE 11.0.0,Win10,,32F51C509CD462F728CE126D98D461F4
54,3/6/20 1:14,6,10,"Coming from java development to .net framework I am a bit frustrated where to go for api docs, but I guess it takes time to get used to it",,7,6,7,7,7,Solve_a_problem / Find_information_about_getting_s / Learn_something_new / Find_a_reference_architecture / Find_code_samples,,7,7,,7,7,7,apps developer,35-44_years_old,Male,1,moving from java to c#,12,https://docs.microsoft.com/en-us/dotnet/api/system.io.file.open?view=netframework-4.8,,3204s,Desktop,Chrome 0.0.0,Win10,,33261F84B09F638703461101B17362C1
55,3/6/20 1:02,1,0,I find this popup frustrating,Docs themselves,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-createdirectorya,,64s,Desktop,Chrome 0.0.0,Win10,,10AEDB98EEB566DA0D2CD51CEF6967F9
56,3/6/20 0:55,6,9,,,3,3,4,4,4,Solve_a_problem / Find_code_samples / Look_something_up,3,,4,,3,,,,75_years_old_or_older,,30,1,home,https://docs.microsoft.com/en-us/windows/security/threat-protection/#tvm,,223s,Desktop,IE 18.18363.0,Win10,,0C5A61B43821642707E36FD039A96538
57,3/6/20 0:21,5,10,more explanation and details guided by examples,covers most issues.organized,5,5,5,5,5,Learn_something_new / Solve_a_problem / Look_something_up / Find_code_samples,5,5,5,,5,,,developer,45-54_years_old,Female,20,".net,asp.net core",2000,https://docs.microsoft.com/en-us/aspnet/core/?view=aspnetcore-3.1,,272s,Desktop,Chrome 0.0.0,Win7,,27F86D629CEA603D2AAA630B9DFC61C2
58,3/5/20 23:04,6,9,,,,,,,,,,,,,,,,,,,,,,https://docs.microsoft.com/tr-tr/azure/aks/servicemesh-istio-install?pivots=client-operating-system-linux,,280s,Desktop,Chrome 0.0.0,MacOSX,,01C5D9724627608F176DD70B42276633
59,3/5/20 22:53,7,10,,,7,7,7,7,7,Find_code_samples / Solve_a_problem / Find_information_about_getting_s / Look_something_up,7,,7,,7,,7,,45-54_years_old,Male,17,"c#, javascript",>5000,https://docs.microsoft.com/en-us/dotnet/framework/data/adonet/sql/table-valued-parameters,,107s,Desktop,Chrome 0.0.0,Win10,,195C2CF33A36687C34AA22713B3569DC
60,3/5/20 22:37,7,8,,,7,7,7,7,7,Look_something_up / Solve_a_problem / Find_code_samples,7,,7,,7,,,application architect,35-44_years_old,Male,20,C,"150,000",https://docs.microsoft.com/en-us/dotnet/framework/wcf/feature-details/how-to-view-certificates-with-the-mmc-snap-in,,3237s,Desktop,Chrome 0.0.0,Win10,,2137B1C79C976DE02F25BFA598976E07
61,3/5/20 21:39,6,9,Nothing,"Gives return value, parameters, exceptions, and examples.",6,6,6,7,6,Find_code_samples / Learn_something_new / Solve_a_problem / Look_something_up,6,6,5,,6,,,,55-64_years_old,Male,> 30,.NET C# SQL WPF,85,https://docs.microsoft.com/en-us/dotnet/api/system.collections.generic.list-1.remove?view=netframework-4.8,,210s,Desktop,Chrome 0.0.0,Win10,,14F81FADBF3D670B15521129BE956626
62,3/5/20 21:04,3,2,I followed the instructions in the doc but the process failed to run.,,2,4,2,2,6,Find_information_about_getting_s,,,,,,,3,IT Manager,55-64_years_old,Male,23,english,70,https://docs.microsoft.com/en-us/deployoffice/overview-of-the-office-2016-deployment-tool,,224s,Desktop,IE 11.0.0,Win7,,02DAA9EE318A655E3719A76A3022647B
63,3/5/20 19:46,7,10,,,7,7,7,4,3,Solve_a_problem,,,,,6,,,,,,,,,https://docs.microsoft.com/pt-br/dotnet/csharp/whats-new/csharp-8#asynchronous-streams,,73s,Desktop,Chrome 0.0.0,GNU/Linux,,1D62F3E61DE16BE9124BFDAD19E168AB
64,3/5/20 19:45,7,10,,,7,7,7,7,7,Solve_a_problem / Evaluate_a_product_service / Look_something_up / Learn_something_new / Find_a_reference_architecture / Find_information_about_getting_s,7,7,,7,7,7,7,Principal Enterprise Systems Engineer,45-54_years_old,Male,21,"MEMCM, Intune, macOS",30000+,https://docs.microsoft.com/en-us/configmgr/desktop-analytics/overview,,71s,Desktop,Chrome 0.0.0,MacOSX,,076F7A2A1179694A0353744C10A568A3
65,3/5/20 18:51,3,3,Syntax only - no meaningful examples of how to use the syntax,Ability to change version,5,2,5,1,3,Look_something_up / Find_code_samples / Solve_a_problem,3,,1,,1,,,DBA,65-74_years_old,Male,45,"ORACLE, SQL Server",350,https://docs.microsoft.com/en-us/sql/t-sql/data-types/time-transact-sql?view=sql-server-ver15,,134s,Desktop,Chrome 0.0.0,Win10,,3E68E21B377B6AD5074BEF12337B69D8
66,3/5/20 18:33,1,0,"Function explanations are useless.  Details are sparse, explanation and examples are almost nonexistent.  But Google prioritizes MS pages, so I typically look there first, get frustrated, and search for someone else's real explanation of the function.",,3,1,3,3,3,Find_information_about_getting_s / Look_something_up / Find_code_samples / Solve_a_problem,1,,1,,1,,1,,,,,,,https://docs.microsoft.com/en-us/powerquery-m/sharptable,,141s,Desktop,Chrome 0.0.0,Win10,,10FD43E87EF96996086A4E007AF96ACF
67,3/5/20 17:33,7,8,,,6,6,5,3,6,Find_a_reference_architecture / Evaluate_a_product_service / Solve_a_problem,,,,4,4,2,,cloud professional,35-44_years_old,Male,17,CSPs - English?,50k,https://docs.microsoft.com/de-de/azure/app-service/overview,,102s,Desktop,Chrome 0.0.0,Win10,,3E5BDC93B0296A6C107CD295B19C6BBB
68,3/5/20 17:29,5,4,"Always lightweight. Rarely examples. Misses some formal specification. Not enough intelligent links to related functions and capabilities. Needs a practical 'Watch out for' section.Seems to be written by people who are paid by the article, not by the usefulness of the article.",,4,5,4,2,5,Find_code_samples / Learn_something_new / Look_something_up / Solve_a_problem / Find_a_reference_architecture,2,3,1,,2,3,,Guru,,,50,All,200K,https://docs.microsoft.com/en-us/dotnet/api/microsoft.office.interop.excel.application?view=excel-pia,,284s,Desktop,Chrome 0.0.0,Win10,,2D48B9CC172B6E363C4FB299132B6854
69,3/5/20 17:01,4,8,,,5,6,5,4,6,Look_something_up / Learn_something_new / Find_information_about_getting_s / Find_code_samples,4,4,5,,,,7,intern,18-24_years_old,Male,0-1,JAVA/C++/Python/C#,,https://docs.microsoft.com/en-us/azure/cognitive-services/form-recognizer/quickstarts/dotnet-sdk?source=docs,,160s,Desktop,Chrome 0.0.0,Win10,,092D5C859CBA66AD082C52019D5667AF
70,3/5/20 16:42,1,0,,,1,1,1,1,1,,,,,,,,,,,,,,,https://docs.microsoft.com/en-us/typography/vendors/,,21s,Desktop,Chrome 0.0.0,Win10,,189077B0FF4C60411CB57992FB4C635A
71,3/5/20 16:33,7,10,nothing,Perfect and up to the mark explanation,7,7,7,7,7,Learn_something_new / Find_code_samples / Find_information_about_getting_s / Find_a_reference_architecture,,7,7,,,7,7,Technical Consultant,35-44_years_old,Male,18,AX2012,100,https://docs.microsoft.com/en-us/dynamics365/customer-service/set-up-rules-to-automatically-create-or-update-records,,205s,Desktop,Chrome 0.0.0,Win10,,38D0C6D77C95612E2223C88178956293
